
Information about map: EDT                 
==================================

Map name (internal)     : EDT000
Sounding set (internal) : 0
RS-Number               : K2143845
Data record length      : 40 bytes
Number of data records  : 4544
Max filemap size        : 4544 bytes
Data header size        : 12504 bytes
Free space in map       : -189720 bytes (107369439 records)
Status flag (not used)  : 1


   Record name:    Unit:           Data type:          Divisor: Offset:
   ---------------------------------------------------------------------
    time            sec             float (4)          1        0       
    Pscl            ln              short (2)          1        0       
    T               K               short (2)          10       0       
    RH              %               short (2)          1        0       
    v               m/s             short (2)          -100     0       
    u               m/s             short (2)          -100     0       
    Height          m               short (2)          1        30000   
    P               hPa             short (2)          10       0       
    TD              K               short (2)          10       0       
    MR              g/kg            short (2)          100      0       
    DD              dgr             short (2)          1        0       
    FF              m/s             short (2)          10       0       
    AZ              dgr             short (2)          1        0       
    Range           m               short (2)          0.01     0       
    Lon             dgr             short (2)          100      0       
    Lat             dgr             short (2)          100      0       
    SpuKey          bitfield        unsigned short (2) 1        0       
    UsrKey          bitfield        unsigned short (2) 1        0       
    RadarH          m               short (2)          1        30000   

*************************************************************************************************

    72.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     5.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     0.00	     0.00	-32768.00	
    74.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     4.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     0.00	     0.00	-32768.00	
    76.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     4.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     0.00	     0.00	-32768.00	
    78.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     4.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     0.00	     0.00	-32768.00	
    80.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     4.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     0.00	     0.00	-32768.00	
    82.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     4.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     0.00	     0.00	-32768.00	
    84.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     4.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     0.00	     0.00	-32768.00	
    86.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     4.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     0.00	     0.00	-32768.00	
    88.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     4.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     0.00	     0.00	-32768.00	
    90.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     4.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     0.00	     0.00	-32768.00	
    92.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     4.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     0.00	     0.00	-32768.00	
    94.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     4.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     0.00	     0.00	-32768.00	
    96.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     4.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     0.00	     0.00	-32768.00	
    98.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     4.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     0.00	     0.00	-32768.00	
   100.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     4.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     0.00	     0.00	-32768.00	
   102.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     4.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     0.00	     0.00	-32768.00	
   104.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     4.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     0.00	     0.00	-32768.00	
   106.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     4.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     0.00	     0.00	-32768.00	
   108.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     4.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     0.00	     0.00	-32768.00	
   110.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     4.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     0.00	     0.00	-32768.00	
   112.00	 28368.00	   292.00	    66.00	-32768.00	-32768.00	     4.00	  1018.20	   285.60	     8.91	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     0.00	     0.00	-32768.00	
   114.00	 28368.00	   292.30	    68.00	-32768.00	-32768.00	     4.00	  1018.20	   286.30	     9.33	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     0.00	     0.00	-32768.00	
   116.00	 28368.00	   292.60	    71.00	-32768.00	-32768.00	     5.00	  1018.10	   287.30	     9.98	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     0.00	     0.00	-32768.00	
   118.00	 28368.00	   292.70	    69.00	-32768.00	-32768.00	     5.00	  1018.10	   286.80	     9.66	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     0.00	     0.00	-32768.00	
   120.00	 28368.00	   292.60	    69.00	-32768.00	-32768.00	     4.00	  1018.20	   286.70	     9.63	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     0.00	     0.00	-32768.00	
   122.00	 28368.00	   292.60	    68.00	-32768.00	-32768.00	     5.00	  1018.10	   286.70	     9.60	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     0.00	     0.00	-32768.00	
   124.00	 28368.00	   292.50	    69.00	-32768.00	-32768.00	     4.00	  1018.30	   286.60	     9.56	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     0.00	     0.00	-32768.00	
   126.00	 28368.00	   292.80	    69.00	-32768.00	-32768.00	     4.00	  1018.30	   287.00	     9.79	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     0.00	     0.00	-32768.00	
   128.00	 28368.00	   292.90	    69.00	-32768.00	-32768.00	     4.00	  1018.20	   287.10	     9.84	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     0.00	     0.00	-32768.00	
   130.00	 28368.00	   292.50	    69.00	-32768.00	-32768.00	     3.00	  1018.30	   286.70	     9.58	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     0.00	     0.00	-32768.00	
   132.00	 28368.00	   292.70	    68.00	-32768.00	-32768.00	     4.00	  1018.20	   286.70	     9.58	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     0.00	     0.00	-32768.00	
   134.00	 28368.00	   292.90	    68.00	-32768.00	-32768.00	     4.00	  1018.20	   286.90	     9.75	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     0.00	     0.00	-32768.00	
   136.00	 28368.00	   293.40	    68.00	-32768.00	-32768.00	     4.00	  1018.20	   287.30	     9.98	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     0.00	     0.00	-32768.00	
   138.00	 28368.00	   292.90	    68.00	-32768.00	-32768.00	     4.00	  1018.20	   286.90	     9.76	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     0.00	     0.00	-32768.00	
   140.00	 28368.00	   292.90	    67.00	-32768.00	-32768.00	     4.00	  1018.20	   286.70	     9.59	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     0.00	     0.00	-32768.00	
   142.00	 28369.00	   293.10	    67.00	-32768.00	-32768.00	     3.00	  1018.30	   286.80	     9.69	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     0.00	     0.00	-32768.00	
   144.00	 28369.00	   293.00	    69.00	-32768.00	-32768.00	     3.00	  1018.30	   287.20	     9.90	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     0.00	     0.00	-32768.00	
   146.00	 28368.00	   291.40	    68.00	-32768.00	-32768.00	     4.00	  1018.30	   285.30	     8.75	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     0.00	     0.00	-32768.00	
   148.00	 28368.00	   292.00	    68.00	-32768.00	-32768.00	     4.00	  1018.30	   286.10	     9.21	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     0.00	     0.00	-32768.00	
   150.00	 28368.00	   291.90	    68.00	-32768.00	-32768.00	     4.00	  1018.20	   285.90	     9.11	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     0.00	     0.00	-32768.00	
   152.00	 28369.00	   292.40	    69.00	-32768.00	-32768.00	     3.00	  1018.40	   286.50	     9.44	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	-32768.00	     0.00	     0.00	-32768.00	
