2018-08-23 18:17:50.387058;1;22.03;72.92;1008.86;618
2018-08-23 18:17:50.621806;2;21.47;75.37;1008.77;618
2018-08-23 18:17:50.857144;3;22.34;71.52;1008.78;618
2018-08-23 18:17:51.091153;4;22.43;71.89;1008.64;618
2018-08-23 18:17:51.326495;5;22.08;72.85;1009.01;618
2018-08-23 18:17:51.561354;6;22.42;70.57;1008.7;618
2018-08-23 18:17:51.795881;7;21.49;77.17;1008.81;618
2018-08-23 18:17:52.030424;8;22.05;70.99;1008.56;618
2018-08-23 18:17:52.277163;10;22.26;71.2;1008.77;618
2018-08-23 18:17:52.778377;11;23.36;67.34;1009.05;618
2018-08-23 18:17:53.793100;1;22.02;72.73;1008.88;619
2018-08-23 18:17:54.028341;2;21.46;75.21;1008.74;619
2018-08-23 18:17:54.263054;3;22.33;71.31;1008.74;619
2018-08-23 18:17:54.497898;4;22.42;71.75;1008.7;619
2018-08-23 18:17:54.732502;5;22.07;72.78;1009.05;619
2018-08-23 18:17:54.967302;6;22.4;70.45;1008.66;619
2018-08-23 18:17:55.201673;7;21.48;77.07;1008.83;619
2018-08-23 18:17:55.436464;8;22.05;70.91;1008.55;619
2018-08-23 18:17:55.671639;10;22.27;71.05;1008.79;619
2018-08-23 18:17:57.315915;11;23.39;67.3;1009.03;619
2018-08-23 18:17:58.323139;1;22.01;72.58;1008.84;620
2018-08-23 18:17:58.558259;2;21.45;75.04;1008.76;620
2018-08-23 18:17:58.793132;3;22.32;71.22;1008.81;620
2018-08-23 18:17:59.027779;4;22.4;71.53;1008.63;620
2018-08-23 18:17:59.262862;5;22.05;72.62;1009.01;620
2018-08-23 18:17:59.501081;6;22.37;70.53;1008.61;620
2018-08-23 18:17:59.732445;7;21.47;76.86;1008.77;620
2018-08-23 18:17:59.966930;8;22.03;70.84;1008.58;620
2018-08-23 18:18:00.202687;10;22.26;71.03;1008.77;620
2018-08-23 18:18:00.717809;11;23.38;66.77;1009.05;620
2018-08-23 18:18:01.731510;1;22.01;72.76;1008.87;621
2018-08-23 18:18:01.966782;2;21.45;75.22;1008.77;621
2018-08-23 18:18:02.200829;3;22.26;71.41;1008.81;621
2018-08-23 18:18:02.435653;4;22.42;72.05;1008.68;621
2018-08-23 18:18:02.670747;5;22.07;72.79;1009.05;621
2018-08-23 18:18:02.905830;6;22.36;70.67;1008.7;621
2018-08-23 18:18:03.374654;8;22.02;70.88;1008.56;621
2018-08-23 18:18:03.609333;10;22.25;71.15;1008.77;621
2018-08-23 18:18:04.501335;11;23.4;66.76;1009.05;621
2018-08-23 18:18:05.503067;1;22.01;73.0;1008.91;622
2018-08-23 18:18:05.739033;2;21.46;75.47;1008.75;622
2018-08-23 18:18:05.973871;3;22.27;71.87;1008.82;622
